function_id,function_name,sr_content,sr_index,outcome,met_constrains,explanation,status,api_response
7796,ssl_add_tls13_cipher,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,197,Does Not Match,[],"The provided function ssl_add_tls13_cipher only checks if a given TLS 1.3 cipher meets the policy and, if so, adds it to a structure. It does not contain any logic addressing the specific RFC6091 requirement that the OpenPGP certificate type MUST NOT be used with TLS 1.3. No part of the code implements any condition (e.g., checking for OpenPGP certificate use) or action related to the spec constraint.",success,
7797,ssl_write_client_cipher_list,The OpenPGP certificate type [RFC6091] MUST NOT be used with TLS 1.3.,197,Does Not Match,[],"The specified RFC constraint requires that the OpenPGP certificate type must not be used with TLS 1.3. The provided function, ssl_write_client_cipher_list, handles the construction of the client cipher list and the inclusion of TLS 1.3 ciphers, but it does not contain any logic or checks pertaining to OpenPGP certificate types. Since no code in the function directly addresses or prevents the use of the OpenPGP certificate type with TLS 1.3, it does not implement the RFC6091 requirement.",success,
7797,ssl_write_client_cipher_list,"To avoid a downgrade attack, the client SHOULD NOT disable TLS 1.3, only 0-RTT.",385,Fully Matches,"[{'C1': {'code': 'if (hs->max_version >= TLS1_3_VERSION) {\n    …\n    for (auto cipher : ciphers) {\n      if (!ssl_add_tls13_cipher(&child, cipher, ssl->config->compliance_policy)) {\n        return false;\n      }\n    }\n  }', 'explanation': 'This segment unconditionally adds TLS 1.3 cipher suites when the maximum supported version is at least TLS 1.3. It ensures that TLS 1.3 is always enabled, which aligns with the RFC requirement to not disable TLS 1.3.'}}, {'A1': {'code': 'if (hs->min_version < TLS1_3_VERSION && type != ssl_client_hello_inner) {\n    …\n    // Loop over pre-TLS 1.3 ciphers and add them\n    …\n  }', 'explanation': 'By conditionally adding non–TLS 1.3 ciphers only when the handshake is not an inner (0-RTT) ClientHello, the function restricts the disabling behavior to 0-RTT. In doing so, it avoids any inadvertent disabling of TLS 1.3, thus addressing the RFC specification.'}}]","The function explicitly implements the RFC requirement by always including TLS 1.3 cipher suites when available (thereby not disabling TLS 1.3) and by conditionally adding additional ciphers only for non–0-RTT handshakes. This shows that the function is designed to avoid a downgrade attack by not disabling TLS 1.3, fulfilling the specification that only 0-RTT should be disabled if needed.",success,
7798,ssl_write_client_hello_without_extensions,Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.,79,Does Not Match,[],"The RFC constraint requires that clients must not use cookies in their initial ClientHello on subsequent connections and also defines behavior related to the '100-continue' expectation. However, the provided function focuses on constructing a ClientHello message by adding version, random, session ID (in certain circumstances), and cipher list information. It does include logic to add a DTLS cookie if SSL_is_dtls(ssl) returns true, but there is no conditional logic that prevents sending cookies in the initial ClientHello for subsequent connections, nor is there any handling related to a '100-continue' expectation. In summary, the function does not visibly implement any of the specified conditions or actions from the RFC constraints.",success,
7798,ssl_write_client_hello_without_extensions,"Implementations MUST NOT send extension responses if the remote endpoint did not send the corresponding extension requests, with the exception of the ""cookie"" extension in the HelloRetryRequest.",59,Does Not Match,[],"The provided function, ssl_write_client_hello_without_extensions, constructs a ClientHello message without adding general extensions. It does not contain any logic that verifies whether the remote endpoint sent corresponding extension requests before sending any extension responses. The only extension-like logic present is the unconditional addition of the DTLS cookie extension (if SSL_is_dtls(ssl) is true), which is based solely on the DTLS condition and not on whether the remote endpoint requested the cookie extension. As a result, it does not visibly address the specification requirement (i.e., not sending extension responses unless the remote endpoint requested them, with the cookie exception in HelloRetryRequest) within its own logic.",success,
7798,ssl_write_client_hello_without_extensions,"A client MUST NOT include the ""early_data"" extension in its followup ClientHello.",148,Fully Matches,"[{'C1': {'code': 'bool ssl_write_client_hello_without_extensions(const SSL_HANDSHAKE *hs, CBB *cbb, ssl_client_hello_type_t type, bool empty_session_id) {\n  const SSL *const ssl = hs->ssl;\n  CBB child;\n  if (!CBB_add_u16(cbb, hs->client_version) ||\n      !CBB_add_bytes(cbb,\n                     type == ssl_client_hello_inner ? hs->inner_client_random\n                                                    : ssl->s3->client_random,\n                     SSL3_RANDOM_SIZE) ||\n      !CBB_add_u8_length_prefixed(cbb, &child)) {\n    return false;\n  }\n  \n  // Do not send a session ID on renegotiation.\n  if (!ssl->s3->initial_handshake_complete &&\n      !empty_session_id &&\n      !CBB_add_bytes(&child, hs->session_id.data(), hs->session_id.size())) {\n    return false;\n  }\n  \n  if (SSL_is_dtls(ssl)) {\n    if (!CBB_add_u8_length_prefixed(cbb, &child) ||\n        !CBB_add_bytes(&child, hs->dtls_cookie.data(),\n                       hs->dtls_cookie.size())) {\n      return false;\n    }\n  }\n  \n  if (!ssl_write_client_cipher_list(hs, cbb, type) ||\n      !CBB_add_u8(cbb, 1 /* one compression method */) ||\n      !CBB_add_u8(cbb, 0 /* null compression */)) {\n    return false;\n  }\n  return true;\n}', 'explanation': ""The function is specifically named 'ssl_write_client_hello_without_extensions' and, as observed in the code, it does not add any extensions whatsoever. This ensures that the early_data extension is not included in the followup ClientHello, thus meeting the RFC requirement.""}}]","The RFC specifies that a client must not include the 'early_data' extension in its followup ClientHello. In this function, no extension-related code (including any logic to add an 'early_data' extension) exists. By not adding any extension, the function intentionally avoids including early_data, which means it fully meets the constraint as required by the RFC.",success,
7798,ssl_write_client_hello_without_extensions,"For every TLS 1.3 ClientHello, this vector MUST contain exactly one byte, set to zero, which corresponds to the ""null"" compression method in prior versions of TLS.",22,Fully Matches,"[{'A1': {'code': 'if (!ssl_write_client_cipher_list(hs, cbb, type) ||\n      !CBB_add_u8(cbb, 1 /* one compression method */) ||\n      !CBB_add_u8(cbb, 0 /* null compression */)) {\n    return false;\n  }', 'explanation': 'The code explicitly writes a single compression method byte (by first writing a length of 1 and then writing the value 0), which directly implements the TLS 1.3 ClientHello requirement.'}}]","The code function visibly meets the TLS 1.3 ClientHello requirement by adding exactly one byte set to 0 for the compression method. The relevant segment uses two calls: one to set the count of compression methods and another to set the compression method to the null value, thereby fully implementing the corresponding specification action within this function.",success,
7799,ssl_add_client_hello,Clients MUST NOT use cookies in their initial ClientHello in subsequent connections.,79,Does Not Match,[],"The provided function is responsible for constructing a TLS ClientHello message and does not include any logic related to the RFC specification that mandates clients MUST NOT use cookies in their initial ClientHello in subsequent connections. There is no code segment in function_body that checks for or omits cookies from the ClientHello message, nor does it enforce any aspect of the cookie requirement specified. The function only builds and finalizes the ClientHello message without addressing the specified cookie handling rule.",success,
7800,parse_server_version,"Peers which receive a message which cannot be parsed according to the syntax (e.g., have a length extending beyond the message boundary or contain an out-of-range length) MUST terminate the connection with a ""decode_error"" alert",311,Partially Matches,"[{'C1': {'code': 'if (!CBS_get_u16(&supported_versions.data, out_version) ||  \n      CBS_len(&supported_versions.data) != 0) {\n    *out_alert = SSL_AD_DECODE_ERROR;\n    return false;\n  }', 'explanation': 'This segment checks that the supported_versions extension exactly contains one 16-bit value with no extra trailing bytes. If the parsing fails or extra data is present (which indicates a syntactic error), it sets the decode_error alert, thereby addressing the RFC requirement to detect a message that cannot be parsed according to the syntax.'}}, {'A1': {'code': '*out_alert = SSL_AD_DECODE_ERROR;\nreturn false;', 'explanation': 'Upon detecting a parsing error, the function sets the decode_error alert and returns false, which (via its caller) is expected to lead to termination of the connection. This reflects the action mandated by the RFC when encountering a decode error.'}}]","The function partially implements the RFC specification by validating the format of the supported_versions extension and by setting the decode_error alert if an anomaly is detected. While it correctly triggers a decode_error when the parsed message does not match expected syntax (i.e., extra data remains or no proper u16 can be read), it does not fully cover all possible syntactic parsing errors (such as other possible length breaches mentioned in the RFC) solely within this function. Therefore, the implementation only partially matches the RFC constraints.",success,
7800,parse_server_version,"If this extension is not present, servers which are compliant with this specification and which also support TLS 1.2 MUST negotiate TLS 1.2 or prior as specified in [RFC5246], even if ClientHello.legacy_version is 0x0304 or later.",65,Partially Matches,"[{'C1': {'code': 'if (!supported_versions.present) {\n    *out_version = server_hello.legacy_version;\n    return true;\n}', 'explanation': 'This code segment implements the behavior required by the RFC: if the supported_versions extension is not present, the function falls back to using the legacy_version field for TLS negotiation. This reflects the mandate that, in absence of the extension, TLS 1.2 (or DTLS 1.2, as determined earlier) or a lower version should be negotiated.'}}]","The function checks the negotiated TLS version by first selecting a baseline version (either TLS1.2 or DTLS1.2) and then comparing it to the server's legacy_version. If they differ, it immediately uses the server-provided legacy_version. It then parses the supported_versions extension and, if not present, again falls back on the legacy_version. This approach addresses the condition described in the RFC specification that if the extension is absent, servers must negotiate TLS 1.2 or prior. However, the code has a comment noting that it does not completely match the RFC8446 formulation (especially regarding cases when ClientHello.legacy_version is 0x0304 or later), so while it implements some of the required behavior, it does not fully implement all aspects of the spec by itself.",success,
