function_id,function_name,sr_content,sr_index,outcome,met_constrains,explanation,status,api_response
5670,ssl3_setup_key_block,Implementations MUST NOT offer or negotiate RC4 cipher suites for any version of TLS for any reason.,389,Does Not Match,[],"The provided function 'ssl3_setup_key_block' is concerned solely with key block setup and generation. It obtains the cipher and digest (via ssl_cipher_get_evp), assigns them to the session structure, and computes parameters for key block generation. However, there is no visible logic within this function that inspects or filters out RC4 cipher suites or checks for cipher strength requirements (e.g., ensuring a minimum of 112 bits). Therefore, the function does not address the TLS RFC specification conditions related to not offering or negotiating RC4 cipher suites or low strength ciphers.",success,
5679,ssl3_alert_code,"If the decryption fails, the receiver MUST terminate the connection with a ""bad_record_mac"" alert.",293,Partially Matches,"[{'C1': {'code': 'case SSL_AD_DECRYPTION_FAILED:\n        return SSL3_AD_BAD_RECORD_MAC;', 'explanation': ""This code segment maps a decryption failure (SSL_AD_DECRYPTION_FAILED) to the 'bad_record_mac' alert (SSL3_AD_BAD_RECORD_MAC) as required by the RFC. However, the function also handles the record overflow case incorrectly by mapping it to the same 'bad_record_mac' alert.""}}]","The function attempts to implement part of the TLS RFC requirement by ensuring that if decryption fails, the connection is terminated with a 'bad_record_mac' alert, as seen in the SSL_AD_DECRYPTION_FAILED case. However, it does not fully meet the spec because it also maps SSL_AD_RECORD_OVERFLOW to SSL3_AD_BAD_RECORD_MAC rather than using a distinct 'record_overflow' alert. This partial handling means that, while some conditions are addressed within the function, not all specified constraints are properly implemented solely in this code.",success,
5679,ssl3_alert_code,Implementations MUST NOT offer or negotiate RC4 cipher suites for any version of TLS for any reason.,389,Does Not Match,[],"The provided function only maps SSL/TLS alert codes to corresponding internal codes. It does not implement or attempt to enforce any policy regarding cipher suite selection, specifically the prohibition against using RC4 cipher suites or cipher suites with insufficient strength (as specified by the TLS RFC). In other words, there is no code within this function that addresses the spec constraint to not offer or negotiate RC4 cipher suites (or weak ciphers), so it does not match the TLS RFC requirements.",success,
5679,ssl3_alert_code,"Sending this alert is OPTIONAL; servers MAY instead choose to send a ""decrypt_error"" alert to merely indicate an invalid PSK identity.",324,Partially Matches,"[{'A1': {'code': 'case SSL_AD_UNKNOWN_PSK_IDENTITY:\n    return TLS1_AD_UNKNOWN_PSK_IDENTITY;', 'explanation': ""This segment handles the unknown_psk_identity alert by mapping it to TLS1_AD_UNKNOWN_PSK_IDENTITY. This shows that when a PSK identity issue occurs the function returns an alert code. However, the RFC specifies that sending this alert is OPTIONAL and that servers MAY instead choose to send a 'decrypt_error' alert. The function does not provide any alternative branch (or conditional logic) to choose between sending TLS1_AD_UNKNOWN_PSK_IDENTITY versus a decrypt error, which is why the implementation only partially addresses the spec.""}}]","The function_body implements various alert code mappings and includes a branch for unknown_psk_identity. While it does address the condition where an unknown PSK identity is encountered (by returning TLS1_AD_UNKNOWN_PSK_IDENTITY), it does not implement any logic to optionally send a decrypt_error alert as allowed by the RFC. Since the RFC allows for this alternative and the function does not provide for it, the implementation only partially matches the specified TLS RFC behavior.",success,
5684,SSL_SESSION_print,"Because TLS 1.3 always hashes in the transcript up to the server Finished, implementations which support both TLS 1.3 and earlier versions SHOULD indicate the use of the Extended Master Secret extension in their APIs whenever TLS 1.3 is used.",376,Partially Matches,"[{'A1': {'code': 'if (BIO_printf(bp, ""    Extended master secret: %s\\n"",\n                   x->flags & SSL_SESS_FLAG_EXTMS ? ""yes"" : ""no"") <= 0)\n    goto err;', 'explanation': 'This code segment prints an indication of whether the Extended Master Secret extension was used by examining the session flag. It partially addresses the spec requirement to indicate the use of the Extended Master Secret when TLS 1.3 is in use, even though it does not enforce or set the flag specifically for TLS 1.3 within this function.'}}]","The TLS RFC specification mandates that implementations supporting both TLS 1.3 and earlier versions should indicate in their APIs the use of the Extended Master Secret extension whenever TLS 1.3 is used. In this function, the only visible handling related to this requirement is the printing of the Extended Master Secret status based on the SSL_SESS_FLAG_EXTMS flag. While this output serves as an indication, the function does not include any logic that guarantees that TLS 1.3 sessions always have the Extended Master Secret marked as used, nor does it conditionally enforce this behavior. Therefore, while the function does address the spec by showing the extension indicator (A1), it only partially matches the full intent of the specification.",success,
5684,SSL_SESSION_print,A TLS implementation SHOULD NOT automatically resend early data; applications are in a better position to decide when retransmission is appropriate.,156,Does Not Match,[],"The provided code function, SSL_SESSION_print, is solely responsible for printing session details such as protocols, cipher, session IDs, keys, and related metadata. It does not contain any logic related to the handling of early data retransmission or decision making based on ALPN negotiation. The TLS RFC specification requires that the implementation should not automatically resend early data unless the negotiated connection selects the same ALPN protocol, and that the application should control retransmission. There is no code within this function that addresses these conditions (e.g., checking ALPN protocol consistency before resending early data) or actions. Therefore, no labeled conditions (C1, C2, etc.) or actions (A1, A2, etc.) relevant to the TLS early data retransmission guideline are implemented in this function.",success,
5732,DTLSv1_listen,"Handshake messages MAY be coalesced into a single TLSPlaintext record or fragmented across several records, provided that:",274,Partially Matches,"[{'C1': {'code': 'if (rectype != SSL3_RT_HANDSHAKE) {\n    ERR_raise(ERR_LIB_SSL, SSL_R_UNEXPECTED_MESSAGE);\n    goto end;\n}', 'explanation': 'This code explicitly checks that the record type is a handshake (SSL3_RT_HANDSHAKE), which prevents interleaving of other record types among handshake messages as required by the RFC.'}}, {'A1': {'code': 'if (fragoff != 0 || fraglen > msglen) {\n    /* Non initial ClientHello fragment (or bad fragment) */\n    ERR_raise(ERR_LIB_SSL, SSL_R_FRAGMENTED_CLIENT_HELLO);\n    goto end;\n}', 'explanation': 'This check ensures that the ClientHello is not a fragmented message. The RFC allows handshake messages to be fragmented as long as they are not interleaved. Here the function deliberately accepts only non-fragmented (initial) ClientHello messages, thus partially addressing the RFC by enforcing a stricter policy.'}}]","The function partially implements the TLS RFC specification. It visibly enforces that only handshake records are processed (thus preventing interleaving with other record types) and checks for fragmentation by ensuring that a ClientHello is only accepted if it is not a subsequent fragment. However, while the RFC permits handshake messages to be fragmented and later reassembled, this function purposely rejects fragmented ClientHellos, meaning that it does not fully implement all aspects of the RFC's allowances for fragmentation.",success,
5732,DTLSv1_listen,-Handshake messages MUST NOT be interleaved with other record types.,275,Fully Matches,"[{'C1': {'code': 'if (rectype != SSL3_RT_HANDSHAKE) {\n            ERR_raise(ERR_LIB_SSL, SSL_R_UNEXPECTED_MESSAGE);\n            goto end;\n        }', 'explanation': 'This code segment explicitly checks that the record type is SSL3_RT_HANDSHAKE. If a different record type is encountered, it raises an unexpected_message error and terminates processing. This directly enforces the RFC requirement that handshake messages must not be interleaved with other record types.'}}]","The DTLSv1_listen function inspects the record header and verifies that only handshake records are processed (as shown in the check for 'rectype != SSL3_RT_HANDSHAKE'). By rejecting any non-handshake records, the code prevents the interleaving of handshake messages with any other record types. This behavior, implemented directly within the function, ensures that the specified TLS RFC constraint is met without relying on external dependencies.",success,
5732,DTLSv1_listen,"The security of SSL 2.0 [SSL2] is considered insufficient for the reasons enumerated in [RFC6176], and it MUST NOT be negotiated for any reason.",392,Fully Matches,"[{'C1': {'code': 'if (versmajor != DTLS1_VERSION_MAJOR) {\n    ERR_raise(ERR_LIB_SSL, SSL_R_BAD_PROTOCOL_VERSION_NUMBER);\n    goto end;\n}', 'explanation': 'This code verifies that the major version number in the record header matches DTLS1_VERSION_MAJOR. Since SSLv2 compatible CLIENT-HELLO messages would not have this expected version, the function effectively prevents negotiating SSL 2.0.'}}, {'A1': {'code': 'if (PACKET_remaining(&cookiepkt) == 0) {\n    next = LISTEN_SEND_VERIFY_REQUEST;\n} else {\n    ...\n    if (ssl->ctx->app_verify_cookie_cb(ssl, PACKET_data(&cookiepkt),\n            (unsigned int)PACKET_remaining(&cookiepkt)) == 0) {\n        next = LISTEN_SEND_VERIFY_REQUEST;\n    } else {\n        next = LISTEN_SUCCESS;\n    }\n}\n\n...\n\nif (next == LISTEN_SEND_VERIFY_REQUEST) {\n    ...\n    if (!WPACKET_init_static_len(&wpkt, wbuf, ...)\n        || !WPACKET_put_bytes_u8(&wpkt, SSL3_RT_HANDSHAKE)\n        || ...\n        || !WPACKET_start_sub_packet_u24(&wpkt)\n        || !dtls_raw_hello_verify_request(&wpkt, cookie, cookielen)\n        || !WPACKET_close(&wpkt)\n        || !WPACKET_close(&wpkt)\n        || !WPACKET_finish(&wpkt)) {\n        ERR_raise(ERR_LIB_SSL, ERR_R_INTERNAL_ERROR);\n        WPACKET_cleanup(&wpkt);\n        ret = -1;\n        goto end;\n    }\n}', 'explanation': 'This segment handles the reception of a ClientHello without a valid cookie by initiating a HelloVerifyRequest. By enforcing a stateless cookie exchange, the function avoids scenarios that could lead to falling back to insecure (e.g. SSLv2-like) handshake patterns.'}}]","The DTLSv1_listen function implements the DTLS handshake processing in a way that inherently disallows SSL 2.0 negotiation. It checks the major version number of incoming records and only processes those that match the DTLS1 major version, thereby excluding SSLv2-compatible CLIENT-HELLO messages. Additionally, it manages the handshake via a HelloVerifyRequest mechanism when required. Together, these code segments address the specification constraint that SSL 2.0 must not be negotiated, fulfilling the conditions and actions defined in the spec constraints.",success,
5732,DTLSv1_listen,Implementations MUST NOT send a ClientHello.legacy_version or ServerHello.legacy_version set to 0x0300 or less.,395,Does Not Match,[],"The RFC specification requires that implementations MUST NOT send a ClientHello.legacy_version or ServerHello.legacy_version set to 0x0300 or less. In this function, although the version field is read from incoming packets and a version is computed before sending the HelloVerifyRequest, there is no explicit logic that enforces or checks that the legacy version value in a ClientHello or ServerHello is greater than 0x0300. The function does not explicitly set or verify this field in its outgoing handshake message, and thus it does not visibly address the specified constraint within its own code.",success,
