SR Text,Conditions,Actions,Keywords,Current Paragraph,Previous Paragraph,Next Paragraph,Section Number,Section Title,Section Level,Paragraph Index,Sentence Index,First_Keyword
"If (EC)DHE key establishment is in use, then the ServerHello contains a ""key_share"" extension with the server's ephemeral Diffie-Hellman share; the server's share MUST be in the same group as one of the client's shares.",(EC)DHE key establishment is in use,"The ServerHello MUST contain a ""key_share"" extension with the server's ephemeral Diffie-Hellman share, and the server's share MUST be in the same group as one of the client's shares.",MUST,"The server processes the ClientHello and determines the appropriate cryptographic parameters for the connection. It then responds with its own ServerHello (Section 4.1.3), which indicates the negotiated connection parameters. The combination of the ClientHello and the ServerHello determines the shared keys. If (EC)DHE key establishment is in use, then the ServerHello contains a ""key_share"" extension with the server's ephemeral Diffie-Hellman share; the server's share MUST be in the same group as one of the client's shares. If PSK key establishment is in use, then the ServerHello contains a ""pre_shared_key"" extension indicating which of the client's offered PSKs was selected. Note that implementations can use (EC)DHE and PSK together, in which case both extensions will be supplied.","In the Key Exchange phase, the client sends the ClientHello (Section 4.1.2) message, which contains a random nonce (ClientHello.random); its offered protocol versions; a list of symmetric cipher/HKDF hash pairs; either a set of Diffie-Hellman key shares (in the ""key_share"" (Section 4.2.8) extension), a set of pre-shared key labels (in the ""pre_shared_key"" (Section 4.2.11) extension), or both; and potentially additional extensions. Additional fields and/or messages may also be present for middlebox compatibility.",The server then sends two messages to establish the Server Parameters:,2,Protocol Overview,1,13,4,MUST
"Application Data MUST NOT be sent prior to sending the Finished message, except as specified in Section 2.3.",Application Data is attempted to be sent before the Finished message is sent,"Do not send Application Data prior to sending the Finished message, except as specified in Section 2.3",MUST NOT,"At this point, the handshake is complete, and the client and server derive the keying material required by the record layer to exchange application-layer data protected through authenticated encryption. Application Data MUST NOT be sent prior to sending the Finished message, except as specified in Section 2.3. Note that while the server may send Application Data prior to receiving the client's Authentication messages, any data sent at that point is, of course, being sent to an unauthenticated peer.","Upon receiving the server's messages, the client responds with its Authentication messages, namely Certificate and CertificateVerify (if requested), and Finished.",,2,Protocol Overview,1,22,2,MUST
"If no common cryptographic parameters can be negotiated, the server MUST abort the handshake with an appropriate alert.",No common cryptographic parameters can be negotiated,The server MUST abort the handshake with an appropriate alert,MUST,"If the client has not provided a sufficient ""key_share"" extension (e.g., it includes only DHE or ECDHE groups unacceptable to or unsupported by the server), the server corrects the mismatch with a HelloRetryRequest and the client needs to restart the handshake with an appropriate ""key_share"" extension, as shown in Figure 2. If no common cryptographic parameters can be negotiated, the server MUST abort the handshake with an appropriate alert.",,Note: The handshake transcript incorporates the initial ClientHello/HelloRetryRequest exchange; it is not reset with the new ClientHello.,2.1,Incorrect DHE Share,2,1,2,MUST
"When a client offers resumption via a PSK, it SHOULD also supply a ""key_share"" extension to the server to allow the server to decline resumption and fall back to a full handshake, if needed.",When a client offers resumption via a PSK.,The client SHOULD also supply a 'key_share' extension to the server to allow the server to decline resumption and fall back to a full handshake if needed.,SHOULD,"As the server is authenticating via a PSK, it does not send a Certificate or a CertificateVerify message. When a client offers resumption via a PSK, it SHOULD also supply a ""key_share"" extension to the server to allow the server to decline resumption and fall back to a full handshake, if needed. The server responds with a ""pre_shared_key"" extension to negotiate the use of PSK key establishment and can (as shown here) respond with a ""key_share"" extension to do (EC)DHE key establishment, thus providing forward secrecy.",Subsequent Handshake: ClientHello + key_share* + pre_shared_key --------> ServerHello + pre_shared_key + key_share* {EncryptedExtensions} {Finished} <--------[Application Data*] {Finished} --------> [Application Data] <-------> [Application Data],"When PSKs are provisioned out of band, the PSK identity and the KDF hash algorithm to be used with the PSK MUST also be provisioned.",2.2,Resumption and Pre-Shared Key (PSK),2,6,2,SHOULD
"When PSKs are provisioned out of band, the PSK identity and the KDF hash algorithm to be used with the PSK MUST also be provisioned.",PSKs are provisioned out of band,The PSK identity and the KDF hash algorithm to be used with the PSK MUST also be provisioned,MUST,"When PSKs are provisioned out of band, the PSK identity and the KDF hash algorithm to be used with the PSK MUST also be provisioned.","As the server is authenticating via a PSK, it does not send a Certificate or a CertificateVerify message. When a client offers resumption via a PSK, it SHOULD also supply a ""key_share"" extension to the server to allow the server to decline resumption and fall back to a full handshake, if needed. The server responds with a ""pre_shared_key"" extension to negotiate the use of PSK key establishment and can (as shown here) respond with a ""key_share"" extension to do (EC)DHE key establishment, thus providing forward secrecy.","Note: When using an out-of-band provisioned pre-shared secret, a critical consideration is using sufficient entropy during the key generation, as discussed in [RFC4086]. Deriving a shared secret from a password or other low-entropy sources is not secure. A low-entropy secret, or password, is subject to dictionary attacks based on the PSK binder. The specified PSK authentication is not a strong password-based authenticated key exchange even when used with Diffie-Hellman key establishment. Specifically, it does not prevent an attacker that can observe the handshake from performing a brute-force attack on the password/pre-shared key.",2.2,Resumption and Pre-Shared Key (PSK),2,7,1,MUST
Protocol messages MUST be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2.,,Protocol messages MUST be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2.,MUST,"Protocol messages MUST be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2. A peer which receives a handshake message in an unexpected order MUST abort the handshake with an ""unexpected_message"" alert.","The handshake protocol is used to negotiate the security parameters of a connection. Handshake messages are supplied to the TLS record layer, where they are encapsulated within one or more TLSPlaintext or TLSCiphertext structures which are processed and transmitted as specified by the current active connection state.",New handshake message types are assigned by IANA as described in Section 11.,4,Handshake Protocol,1,2,1,MUST
"A peer which receives a handshake message in an unexpected order MUST abort the handshake with an ""unexpected_message"" alert.",A handshake message is received in an unexpected order by a peer.,Abort the handshake with an 'unexpected_message' alert.,MUST,"Protocol messages MUST be sent in the order defined in Section 4.4.1 and shown in the diagrams in Section 2. A peer which receives a handshake message in an unexpected order MUST abort the handshake with an ""unexpected_message"" alert.","The handshake protocol is used to negotiate the security parameters of a connection. Handshake messages are supplied to the TLS record layer, where they are encapsulated within one or more TLSPlaintext or TLSCiphertext structures which are processed and transmitted as specified by the current active connection state.",New handshake message types are assigned by IANA as described in Section 11.,4,Handshake Protocol,1,2,2,MUST
"If there is no overlap between the received ""supported_groups"" and the groups supported by the server, then the server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert.","There is no overlap between the received ""supported_groups"" and the groups supported by the server.","The server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert.",MUST,"If the server does not select a PSK, then the first three of these options are entirely orthogonal: the server independently selects a cipher suite, an (EC)DHE group and key share for key establishment, and a signature algorithm/certificate pair to authenticate itself to the client. If there is no overlap between the received ""supported_groups"" and the groups supported by the server, then the server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert.","-A ""pre_shared_key"" (Section 4.2.11) extension which contains a list of symmetric key identities known to the client and a ""psk_key_exchange_modes"" (Section 4.2.9) extension which indicates the key exchange modes that may be used with PSKs.","If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension (at present, PSK alone or with (EC)DHE). Note that if the PSK can be used without (EC)DHE, then non-overlap in the ""supported_groups"" parameters need not be fatal, as it is in the non-PSK case discussed in the previous paragraph.",4.1.1,Cryptographic Negotiation,3,6,2,MUST
"If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension (at present, PSK alone or with (EC)DHE).",The condition is when the server selects a PSK.,"The server MUST also select a key establishment mode from the set indicated by the client's 'psk_key_exchange_modes' extension (at present, PSK alone or with (EC)DHE).",MUST,"If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension (at present, PSK alone or with (EC)DHE). Note that if the PSK can be used without (EC)DHE, then non-overlap in the ""supported_groups"" parameters need not be fatal, as it is in the non-PSK case discussed in the previous paragraph.","If the server does not select a PSK, then the first three of these options are entirely orthogonal: the server independently selects a cipher suite, an (EC)DHE group and key share for key establishment, and a signature algorithm/certificate pair to authenticate itself to the client. If there is no overlap between the received ""supported_groups"" and the groups supported by the server, then the server MUST abort the handshake with a ""handshake_failure"" or an ""insufficient_security"" alert.","If the server selects an (EC)DHE group and the client did not offer a compatible ""key_share"" extension in the initial ClientHello, the server MUST respond with a HelloRetryRequest (Section 4.1.4) message.",4.1.1,Cryptographic Negotiation,3,7,1,MUST
"If the server selects an (EC)DHE group and the client did not offer a compatible ""key_share"" extension in the initial ClientHello, the server MUST respond with a HelloRetryRequest (Section 4.1.4) message.",The server selects an (EC)DHE group and the client did not offer a compatible 'key_share' extension in the initial ClientHello,The server MUST respond with a HelloRetryRequest (Section 4.1.4) message,MUST,"If the server selects an (EC)DHE group and the client did not offer a compatible ""key_share"" extension in the initial ClientHello, the server MUST respond with a HelloRetryRequest (Section 4.1.4) message.","If the server selects a PSK, then it MUST also select a key establishment mode from the set indicated by the client's ""psk_key_exchange_modes"" extension (at present, PSK alone or with (EC)DHE). Note that if the PSK can be used without (EC)DHE, then non-overlap in the ""supported_groups"" parameters need not be fatal, as it is in the non-PSK case discussed in the previous paragraph.","If the server successfully selects parameters and does not require a HelloRetryRequest, it indicates the selected parameters in the ServerHello as follows:",4.1.1,Cryptographic Negotiation,3,8,1,MUST
